,EQUITY,EQUITY,EQUITY,DEBT,DEBT,DEBT
Date,Gross Purchase,Gross Sales,Net Purchase/Sales,Gross Purchase,Gross Sales,Net Purchase/Sales
28-Apr-2016,1365.5,1687,-321.5,5308.2,5803.9,-495.7
27-Apr-2016,1139.8,879.3,260.5,5550.4,5399.5,150.9
26-Apr-2016,989.7,808.8,180.9,5681.4,5302.6,378.8
25-Apr-2016,632.5,1029.8,-397.3,5948.2,4658.7,1289.5
22-Apr-2016,1011.8,930.6,81.2,5585.8,4417.9,1167.9
21-Apr-2016,1379.7,1180,199.7,4085.3,3255.4,829.9
20-Apr-2016,877.2,860.2,17,9634.6,5352.5,4282.1
18-Apr-2016,963.3,1263.6,-300.3,10332.7,15925.9,-5593.2
13-Apr-2016,1404.6,1208.4,196.2,9123.2,5622.7,3500.5
12-Apr-2016,918.2,1078.4,-160.2,10563.8,4409.6,6154.2
11-Apr-2016,916.5,512.6,403.9,9353.2,9836,-482.8
08-Apr-2016,898.3,606.9,291.4,6.7,44.2,-37.5
07-Apr-2016,671.3,949.4,-278.1,7895.6,5043.1,2852.5
06-Apr-2016,972.7,845.2,127.5,9536.2,5413.3,4122.9
05-Apr-2016,740,1192.2,-452.2,17562.1,7979.1,9583
04-Apr-2016,729.8,962.3,-232.5,14622.8,7224.6,7398.2
01-Apr-2016,736.4,947.5,-211.1,23.2,14,9.2
Total,16445.6,17021.3,-575.7,131311,95788.1,35522.9
29-Jun-2011,767.5,633,134.5,4094.1,3232,862.1
28-Jun-2011,654.8,544.4,110.4,4371.1,4365.8,5.3
27-Jun-2011,570.5,653.9,-83.4,3376.8,3226.5,150.3
24-Jun-2011,700.2,642.4,57.8,6125.6,2675.6,3450
23-Jun-2011,509.4,275.7,233.7,5192.1,2362.8,2829.3
22-Jun-2011,370.6,365.9,4.7,5606.3,2049.9,3556.4
21-Jun-2011,654.4,261.8,392.6,5422.6,3226.7,2195.9
20-Jun-2011,683.6,346.1,337.5,6297.7,3566.4,2731.3
17-Jun-2011,406.1,378.2,27.9,4942.6,3438.9,1503.7
16-Jun-2011,596,551.4,44.6,2544.4,1509.4,1035
15-Jun-2011,450.8,448.7,2.1,5336.5,2345.2,2991.3
14-Jun-2011,568.2,525.2,43,2941.9,1112.5,1829.4
13-Jun-2011,456,451.5,4.5,2899.2,2217.1,682.1
10-Jun-2011,212.9,194.1,18.8,2152.8,1714.5,438.3
09-Jun-2011,273.7,228.8,44.9,3661.3,1699.6,1961.7
08-Jun-2011,278.7,257.2,21.5,5090.3,2085.9,3004.4
07-Jun-2011,312.7,285.6,27.1,3638.7,2764.2,874.5
06-Jun-2011,470.5,295.3,175.2,3896.6,2437.5,1459.1
03-Jun-2011,201.7,481.6,-279.9,5131.7,2463.2,2668.5
02-Jun-2011,464.3,607.1,-142.8,2289.6,1826.8,462.8
01-Jun-2011,348.4,322,26.4,2265.6,1971.2,294.4
Total,9951,8749.9,1201.1,87277.5,52291.7,34985.8
28-Feb-2003,128.58,65.83,62.75,256.88,211.98,44.9
27-Feb-2003,97.39,49.84,47.55,115.37,184.25,-68.88
26-Feb-2003,70.8,69.75,1.05,169.09,97.09,72
25-Feb-2003,77.6,58,19.6,132.91,122.34,10.57
24-Feb-2003,45.52,39.28,6.24,144.8,170.34,-25.54
22-Feb-2003,N.A.,N.A.,N.A.,0,59.51,-59.51
21-Feb-2003,51.99,41.69,10.3,36.53,178.7,-142.17
20-Feb-2003,51.86,65.59,-13.73,234.13,255.07,-20.94
19-Feb-2003,61.4,69.99,-8.59,129.86,220.88,-91.02
18-Feb-2003,42.49,54.19,-11.7,216.7,174.78,41.92
17-Feb-2003,79.61,48.24,31.37,296.72,176.3,120.42
15-Feb-2003,N.A.,N.A.,N.A.,60.93,58.3,2.63
14-Feb-2003,37.94,42.05,-4.11,102.24,103.1,-0.86
12-Feb-2003,33.22,44.26,-11.04,147.21,170.16,-22.95
11-Feb-2003,15.94,42.78,-26.84,183.39,267.37,-83.98
10-Feb-2003,34.17,62.14,-27.97,163.17,143.22,19.95
08-Feb-2003,N.A.,N.A.,N.A.,54.56,70.93,-16.37
07-Feb-2003,43.55,108.76,-65.21,109.11,244.39,-135.28
06-Feb-2003,41.71,39.26,2.45,130.93,171.94,-41.01
05-Feb-2003,42.03,51.48,-9.45,104.82,149.64,-44.82
04-Feb-2003,55.65,51.63,4.02,185.01,173.86,11.15
03-Feb-2003,66.29,41.88,24.41,99.23,137.65,-38.42
01-Feb-2003,N.A.,N.A.,N.A.,41.72,70.15,-28.43
Total,1077.74,1046.64,31.1,3115.31,3611.95,-496.64
30-Sep-2005,395.38,368.38,27,181.33,232.91,-51.58
29-Sep-2005,995.74,541.37,454.37,371.31,367.29,4.02
28-Sep-2005,475.62,275.41,200.21,722.08,556.6,165.48
27-Sep-2005,522.71,291.34,231.37,1398.82,662.17,736.65
26-Sep-2005,369.09,235.78,133.31,615.01,390.24,224.77
24-Sep-2005,N.A.,N.A.,N.A.,51.61,59.29,-7.68
23-Sep-2005,479.32,392.9,86.42,263.16,307.34,-44.18
22-Sep-2005,496.39,503.94,-7.55,426.65,629.18,-202.53
21-Sep-2005,656.16,565.26,90.9,277.76,302.9,-25.14
20-Sep-2005,519.95,445.06,74.89,572.01,433.81,138.2
19-Sep-2005,456.97,318.04,138.93,829.57,283.5,546.07
17-Sep-2005,N.A.,N.A.,N.A.,56.81,39.25,17.56
